cte_true,mc_mean,mc_std,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9
-0.96945,-1.39171,0.94204,-0.39773,-2.42582,-0.73099,-0.00553,-1.36238,-2.65560,-2.51062,-0.62048,-1.73893,-1.46904
-1.17191,-1.62810,1.36467,-1.18617,-2.51824,-0.10965,1.26323,-2.25599,-2.94994,-2.73908,-1.03125,-2.02052,-2.73343
-1.24350,-1.54904,1.59088,-1.41563,-1.67353,-0.26808,1.78299,-1.79001,-3.60318,-3.35290,-0.49871,-2.08153,-2.58986
-1.24269,-1.71028,2.08506,-1.82128,-2.85506,-3.55910,1.78631,-0.24823,-3.57009,-3.48925,1.66577,-1.89968,-3.11222
-1.14430,-2.76672,2.10797,-2.16992,-3.24237,-4.08485,2.62833,-2.95223,-4.53611,-3.93297,-1.93140,-2.85278,-4.59290
-0.93044,-3.36876,1.39670,-1.99019,-4.61310,-4.49938,-0.10959,-3.20472,-4.31035,-4.01089,-3.36107,-3.28443,-4.30392
-0.65341,-3.98025,0.91748,-2.04296,-4.23632,-4.90644,-3.34638,-4.56401,-4.34238,-4.79649,-3.96434,-2.99680,-4.60635
-0.30848,-4.61926,1.17801,-2.26028,-5.18164,-5.76836,-3.60726,-5.79772,-4.85276,-4.80382,-5.25981,-3.27947,-5.38148
0.10359,-4.86805,1.06546,-2.61547,-5.21768,-5.62357,-3.99933,-6.23308,-5.17329,-4.86186,-5.12375,-4.00292,-5.82958
0.53166,-4.73392,0.88769,-3.21621,-4.72663,-5.13676,-3.46307,-5.96942,-5.59786,-4.27445,-4.75678,-4.73843,-5.45959
0.94666,-4.32131,0.74392,-3.11175,-4.74134,-3.59583,-3.73832,-5.03269,-5.57455,-4.09956,-4.01696,-4.51101,-4.79108
1.39716,-3.57076,0.68945,-2.67815,-3.52491,-2.73403,-3.33820,-4.18864,-4.93118,-3.62564,-3.35442,-4.12691,-3.20549
1.79522,-2.58414,0.52593,-1.95611,-2.30556,-2.23612,-2.26203,-2.79619,-3.73885,-3.02578,-2.66002,-2.71860,-2.14219
2.12872,-2.26651,0.47300,-1.85718,-1.99022,-1.96484,-2.13756,-2.40615,-3.45743,-2.54806,-2.00130,-2.30620,-1.99614
2.38981,-2.11757,0.49840,-1.76123,-1.80530,-1.87965,-1.78857,-2.27216,-3.36777,-2.38671,-2.07847,-2.14786,-1.68803
2.61872,-1.88878,0.45709,-1.55956,-1.48034,-1.50673,-1.61424,-2.03677,-2.96189,-2.19022,-2.12059,-1.73066,-1.68678
2.76149,-1.99072,0.45415,-1.68145,-1.49083,-1.55426,-1.73033,-2.17320,-3.02185,-2.30629,-2.01281,-2.13360,-1.80258
2.82192,-2.39001,0.54727,-2.14958,-1.86517,-1.90787,-2.01093,-2.54646,-3.67890,-2.58528,-2.20162,-2.80240,-2.15184
2.86226,-2.46130,0.63946,-2.20009,-1.84099,-1.76109,-1.87747,-2.68603,-3.90688,-2.59617,-2.27908,-2.90167,-2.56353
2.82476,-2.79375,0.73791,-2.22519,-2.44058,-1.93397,-1.90369,-3.37944,-4.23844,-2.96370,-2.45245,-3.11208,-3.28798
2.68518,-2.76458,0.70771,-2.05117,-2.58667,-2.01269,-1.82110,-3.53722,-3.92349,-3.12776,-2.36723,-2.96059,-3.25792
2.55326,-3.31692,0.72739,-2.54198,-3.56316,-2.90207,-2.12070,-4.39488,-4.34204,-3.53420,-2.86883,-3.42776,-3.47362
2.34806,-3.62851,0.78089,-2.95849,-3.89953,-4.14127,-2.24637,-4.83088,-4.05843,-4.31745,-2.91263,-3.21698,-3.70303
2.06508,-3.46279,0.65672,-2.59503,-3.74744,-4.10714,-2.97431,-4.52411,-3.72246,-4.08275,-3.06028,-2.77266,-3.04175
1.71633,-3.14843,0.73785,-1.66624,-3.74402,-4.06999,-2.86401,-3.70706,-3.31433,-3.75969,-3.10344,-2.34441,-2.91109
1.35580,-1.43722,1.88020,1.35893,-2.25347,-3.91540,-2.52639,-2.92947,-2.35555,-2.56497,-0.90284,1.50488,0.21212
0.93700,-1.06974,1.71645,1.06700,-0.23728,-3.35861,-2.66368,-2.58503,-1.67353,-2.11414,-1.34118,1.41898,0.79002
0.41865,-0.43641,1.36356,0.56340,-0.59456,-1.57327,-3.14354,-1.69194,0.29229,-0.59676,0.33983,1.25358,0.78688
-0.04779,-0.00635,1.14645,0.82784,-0.39948,1.07881,-2.76289,-0.74636,0.45803,-0.22478,0.08161,0.96174,0.66198
-0.52846,-0.36894,0.91279,0.64670,-0.83535,0.12252,-2.16034,-1.39735,0.31473,-0.53809,-0.61450,0.53559,0.23672
-1.00807,-0.65956,1.65025,-0.04525,-1.26046,0.00576,-2.45605,-2.70002,1.82824,-0.34789,-1.47503,-2.10924,1.96437
